step,dx,dy,dz,droll,dpitch,dyaw,gripper,bowl_z,bowl_delta_z,success_counter,custom_success,libero_done
0,0.19501181849661997,0.06493698265038284,-0.11998949728760067,4.831982009551039e-05,4.201572315365443e-05,0.00012604848426930881,-1.0,0.8984040741554374,2.0257422417291338e-07,0,False,False
1,0.19501181849661997,0.06493698265038284,-0.11998949728760067,4.831982009551039e-05,4.201572315365443e-05,0.00012604848426930881,-1.0,0.8984041294389569,2.5785774360187474e-07,0,False,False
2,0.3006101376437674,0.18552521981445025,-0.0026785731315612793,-0.008228991224485283,4.201572315365443e-05,0.00012604848426930881,-1.0,0.8984041445261057,2.729448924654321e-07,0,False,False
3,0.3006101376437674,0.16743698423984,-0.0026785731315612793,4.831982009551039e-05,4.201572315365443e-05,-0.020579833756474875,-1.0,0.898404148643463,2.770622496983677e-07,0,False,False
4,0.5052068809913653,0.016701687784755892,-0.20064075764487777,4.831982009551039e-05,4.201572315365443e-05,0.00012604848426930881,-1.0,0.8984041497671096,2.781858963185613e-07,0,False,False
5,0.5778057254050292,0.11317227751600978,-0.3106197490411645,4.831982009551039e-05,0.05419327447227407,0.00012604848426930881,-1.0,0.8984041500737582,2.7849254491396636e-07,0,False,False
6,0.7098036243389635,-0.03153360708087105,-0.3766071438789368,4.831982009551039e-05,-0.04658823486636668,-0.04646218655740514,-1.0,0.8984041501574437,2.7857623041693813e-07,0,False,False
7,0.6834040445521764,-0.0013865477898541423,-0.5379096645934909,4.831982009551039e-05,-0.06614285608132678,-0.05293277475763769,-1.0,0.898404150180282,2.785990687037554e-07,0,False,False
8,0.6174050950852094,0.0468487470757728,-0.5965651266715106,4.831982009551039e-05,-0.03906722670676663,-0.05293277475763769,-1.0,0.8984041501865145,2.7860530127377103e-07,0,False,False
9,0.6174050950852094,0.022731099642959274,-0.523245799073986,4.831982009551039e-05,-0.04357983160252665,-0.02316806903656793,-1.0,0.8984041501882155,2.7860700224646706e-07,0,False,False
10,0.6174050950852094,0.03478992335936604,-0.5965651266715106,4.831982009551039e-05,-0.04357983160252665,0.00012604848426930881,-1.0,0.8984041501886797,2.7860746643071366e-07,0,False,False
11,0.7758025738059305,0.2578781621128905,-0.22263655592413512,4.831982009551039e-05,4.201572315365443e-05,0.00012604848426930881,-1.0,0.8984041501888064,2.7860759310716077e-07,0,False,False
12,0.6174050950852094,0.04081933521756942,-0.5379096645934909,4.831982009551039e-05,-0.06915125934516683,0.00012604848426930881,-1.0,0.8984041501888411,2.7860762785714144e-07,0,False,False
13,0.6174050950852094,0.11317227751600978,-0.5965651266715106,4.831982009551039e-05,-0.06915125934516683,-0.042579833637265585,-1.0,0.8984041501888506,2.7860763729403715e-07,0,False,False
14,0.6174050950852094,0.08905463008319625,-0.3399474800801745,-0.0007794112843625689,0.03764705652115391,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
15,0.5778057254050292,0.08905463008319625,-0.5965651266715106,4.831982009551039e-05,-0.07968067076860691,-0.04387395127731211,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
16,0.5910055152984225,0.348319339985941,-0.3399474800801745,-0.032233193253769596,4.201572315365443e-05,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
17,0.4524077214177916,0.03478992335936604,-0.618560924950768,4.831982009551039e-05,-0.05561344465788673,-0.047756304197451666,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
18,0.4986069860446688,0.3181722806949241,-0.3839390766386892,-0.03968277319389231,4.201572315365443e-05,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
19,-0.0029850299042814,-0.0013865477898541423,-0.7505357146263123,0.0215693285360056,-0.07366386424092686,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
